Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Barnstable,2015,26990,10772,20731,57662,37251,61215
Berkshire,2015,17900,8259,15275,38350,20322,27579
Bristol,2015,95364,36069,73510,187479,75461,89100
Dukes,2015,2577,853,1710,5565,2903,3609
Essex,2015,138575,51825,99143,254870,107929,123761
Franklin,2015,10267,3756,8219,22429,12444,13435
Hampden,2015,84754,34093,67387,147068,62926,72852
Hampshire,2015,19569,18031,33415,43797,21525,24711
Middlesex,2015,265357,102591,230863,554472,200640,226017
Nantucket,2015,1935,518,1252,4188,1422,1543
Norfolk,2015,121911,45084,86117,236116,94402,111261
Plymouth,2015,91169,34637,58244,166860,73389,85559
Suffolk,2015,112390,53386,178559,266087,79690,86578
Worcester,2015,144955,57719,108767,276635,112216,118418
Barnstable,2050,19756,6752,13266,39032,20272,56930
Berkshire,2050,15584,6057,13634,35621,14607,39148
Bristol,2050,77341,28171,64043,187539,69201,129970
Dukes,2050,2735,901,1769,6183,2677,5960
Essex,2050,130217,45255,85898,276266,104355,216744
Franklin,2050,6950,2672,6208,18646,9049,23598
Hampden,2050,74860,33421,58308,147775,60630,111539
Hampshire,2050,16076,16187,28727,42071,19412,42457
Middlesex,2050,248094,89339,208128,596491,213502,387609
Nantucket,2050,2574,587,1996,3424,1335,2470
Norfolk,2050,116337,38608,79255,264397,95458,182553
Plymouth,2050,89002,30910,54453,173252,63671,149603
Suffolk,2050,141785,62969,182761,330968,108764,155421
Worcester,2050,131471,53231,98450,284318,110496,222775
