Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Barnstable,2015,26990,10772,20731,57662,37251,61215
Berkshire,2015,17900,8259,15275,38350,20322,27579
Bristol,2015,95364,36069,73510,187479,75461,89100
Dukes,2015,2577,853,1710,5565,2903,3609
Essex,2015,138575,51825,99143,254870,107929,123761
Franklin,2015,10267,3756,8219,22429,12444,13435
Hampden,2015,84754,34093,67387,147068,62926,72852
Hampshire,2015,19569,18031,33415,43797,21525,24711
Middlesex,2015,265357,102591,230863,554472,200640,226017
Nantucket,2015,1935,518,1252,4188,1422,1543
Norfolk,2015,121911,45084,86117,236116,94402,111261
Plymouth,2015,91169,34637,58244,166860,73389,85559
Suffolk,2015,112390,53386,178559,266087,79690,86578
Worcester,2015,144955,57719,108767,276635,112216,118418
BarnOutofState,2015,80979,32685,70228,161541,64465,74688
BerkOutofState,2015,80979,32685,70228,161541,64465,74688
Bos3OutofState,2015,80979,32685,70228,161541,64465,74688
Bos2OutofState,2015,80979,32685,70228,161541,64465,74688
HampOutofState,2015,80979,32685,70228,161541,64465,74688
Bos1OutofState,2015,80979,32685,70228,161541,64465,74688
WorcOutofState,2015,80979,32685,70228,161541,64465,74688
Barnstable,2025,24638,9194,17848,50847,30060,62719
Berkshire,2025,16955,7241,14641,37473,17664,33899
Bristol,2025,87186,32423,69466,189530,73076,110935
Dukes,2025,2627,867,1720,5808,2761,4721
Essex,2025,132031,47718,90960,260550,104246,166316
Franklin,2025,8730,3261,7322,20864,10905,18930
Hampden,2025,80084,33881,63063,147969,62002,92609
Hampshire,2025,17916,17203,31238,43178,20581,33831
Middlesex,2025,256263,95798,219107,574369,206673,306090
Nantucket,2025,2236,548,1610,3782,1369,1989
Norfolk,2025,120697,42368,83758,253833,96221,149376
Plymouth,2025,88382,32182,55306,166740,67311,114718
Suffolk,2025,124749,57139,177645,293068,92433,118436
Worcester,2025,138019,55396,103464,280058,111193,170269
BarnOutofState,2025,78608,31087,66939,166290,64035,98916
BerkOutofState,2025,78608,31087,66939,166290,64035,98916
Bos3OutofState,2025,78608,31087,66939,166290,64035,98916
Bos2OutofState,2025,78608,31087,66939,166290,64035,98916
HampOutofState,2025,78608,31087,66939,166290,64035,98916
Bos1OutofState,2025,78608,31087,66939,166290,64035,98916
WorcOutofState,2025,78608,31087,66939,166290,64035,98916
Barnstable,2050,22287,7617,14966,44032,22869,64223
Berkshire,2050,16011,6223,14007,36596,15007,40219
Bristol,2050,79008,28778,65423,191581,70692,132771
Dukes,2050,2677,882,1731,6051,2620,5833
Essex,2050,125487,43611,82778,266230,100564,208871
Franklin,2050,7194,2766,6425,19299,9366,24425
Hampden,2050,75415,33669,58740,148870,61079,112366
Hampshire,2050,16263,16375,29061,42560,19638,42951
Middlesex,2050,247169,89006,207352,594267,212706,386164
Nantucket,2050,2538,579,1968,3376,1316,2435
Norfolk,2050,119484,39652,81399,271550,98040,187492
Plymouth,2050,85596,29727,52369,166621,61234,143877
Suffolk,2050,137108,60892,176732,320049,105176,150294
Worcester,2050,131084,53074,98161,283482,110171,222120
BarnOutofState,2050,76237,29489,63650,171040,63605,123145
BerkOutofState,2050,76237,29489,63650,171040,63605,123145
Bos3OutofState,2050,76237,29489,63650,171040,63605,123145
Bos2OutofState,2050,76237,29489,63650,171040,63605,123145
HampOutofState,2050,76237,29489,63650,171040,63605,123145
Bos1OutofState,2050,76237,29489,63650,171040,63605,123145
WorcOutofState,2050,76237,29489,63650,171040,63605,123145
