Geo,Year,RelEmp15to19,RelEmp20to29,RelEmp30to54,RelEmp55to64,RelEmp65Plus
Barnstable,2015,0.9,0.9,0.9,0.9,0.9
Berkshire,2015,0.9,0.9,0.9,0.9,0.9
Bristol,2015,0.8,0.8,0.8,0.8,0.8
Dukes,2015,0.9,0.9,0.9,0.9,0.9
Essex,2015,0.9,0.9,0.9,0.9,0.9
Franklin,2015,0.8,0.8,0.8,0.8,0.8
Hampden,2015,0.7,0.7,0.7,0.7,0.7
Hampshire,2015,0.9,0.9,0.9,0.9,0.9
Middlesex,2015,0.9,0.9,0.9,0.9,0.9
Nantucket,2015,1,1,1,1,1
Norfolk,2015,0.8,0.8,0.8,0.8,0.8
Plymouth,2015,0.6,0.6,0.6,0.6,0.6
Suffolk,2015,1.2,1.1,1.1,1.3,1.2
Worcester,2015,0.7,0.7,0.7,0.7,0.7
Barnstable,2050,1,1,1,1,1
Berkshire,2050,1,1,1,1,1
Bristol,2050,1,1,1,1,1
Dukes,2050,1,1,1,1,1
Essex,2050,1,1,1,1,1
Franklin,2050,1,1,1,1,1
Hampden,2050,1,1,1,1,1
Hampshire,2050,1,1,1,1,1
Middlesex,2050,1,1,1,1,1
Nantucket,2050,1,1,1,1,1
Norfolk,2050,1,1,1,1,1
Plymouth,2050,1,1,1,1,1
Suffolk,2050,1,1,1,1,1
Worcester,2050,1,1,1,1,1
