"Geo","Year","HighCarSvcCost.2010","LowCarSvcCost.2010","AveCarSvcVehicleAge","LtTrkCarSvcSubProp","AutoCarSvcSubProp"
"Barnstable",2015,3,3,3,0.5,0.75
"Berkshire",2015,3,3,3,0.5,0.75
"Bristol",2015,3,3,3,0.5,0.75
"Dukes",2015,3,3,3,0.5,0.75
"Essex",2015,3,3,3,0.5,0.75
"Franklin",2015,3,3,3,0.5,0.75
"Hampden",2015,3,3,3,0.5,0.75
"Hampshire",2015,3,3,3,0.5,0.75
"Middlesex",2015,3,3,3,0.5,0.75
"Nantucket",2015,3,3,3,0.5,0.75
"Norfolk",2015,3,3,3,0.5,0.75
"Plymouth",2015,3,3,3,0.5,0.75
"Suffolk",2015,3,3,3,0.5,0.75
"Worcester",2015,3,3,3,0.5,0.75
"Barnstable",2050,1,3,2,0.5,1
"Berkshire",2050,1,3,2,0.5,1
"Bristol",2050,1,3,2,0.5,1
"Dukes",2050,1,3,2,0.5,1
"Essex",2050,1,3,2,0.5,1
"Franklin",2050,1,3,2,0.5,1
"Hampden",2050,1,3,2,0.5,1
"Hampshire",2050,1,3,2,0.5,1
"Middlesex",2050,1,3,2,0.5,1
"Nantucket",2050,1,3,2,0.5,1
"Norfolk",2050,1,3,2,0.5,1
"Plymouth",2050,1,3,2,0.5,1
"Suffolk",2050,1,3,2,0.5,1
"Worcester",2050,1,3,2,0.5,1
