Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Barnstable,2015,26990,10772,20731,57662,37251,61215
Berkshire,2015,17900,8259,15275,38350,20322,27579
Bristol,2015,95364,36069,73510,187479,75461,89100
Dukes,2015,2577,853,1710,5565,2903,3609
Essex,2015,138575,51825,99143,254870,107929,123761
Franklin,2015,10267,3756,8219,22429,12444,13435
Hampden,2015,84754,34093,67387,147068,62926,72852
Hampshire,2015,19569,18031,33415,43797,21525,24711
Middlesex,2015,265357,102591,230863,554472,200640,226017
Nantucket,2015,1935,518,1252,4188,1422,1543
Norfolk,2015,121911,45084,86117,236116,94402,111261
Plymouth,2015,91169,34637,58244,166860,73389,85559
Suffolk,2015,112390,53386,178559,266087,79690,86578
Worcester,2015,144955,57719,108767,276635,112216,118418
Barnstable,2050,22287,7617,14966,44032,22869,64223
Berkshire,2050,16011,6223,14007,36596,15007,40219
Bristol,2050,79008,28778,65423,191581,70692,132771
Dukes,2050,2677,882,1731,6051,2620,5833
Essex,2050,125487,43611,82778,266230,100564,208871
Franklin,2050,7194,2766,6425,19299,9366,24425
Hampden,2050,75415,33669,58740,148870,61079,112366
Hampshire,2050,16263,16375,29061,42560,19638,42951
Middlesex,2050,247169,89006,207352,594267,212706,386164
Nantucket,2050,2538,579,1968,3376,1316,2435
Norfolk,2050,119484,39652,81399,271550,98040,187492
Plymouth,2050,85596,29727,52369,166621,61234,143877
Suffolk,2050,137108,60892,176732,320049,105176,150294
Worcester,2050,131084,53074,98161,283482,110171,222120
