NAME,FILE,TABLE,GROUP,TYPE,UNITS,NAVALUE,PROHIBIT,ISELEMENTOF,SIZE,UNLIKELY,TOTAL,DESCRIPTION
household_id,synthetic_households.csv,Household,Global,integer,ID,-1,"c(""NA"", ""< 0"")",,0,,,Unique household ID generated by PopulationSim 
PUMA,synthetic_households.csv,Household,Global,integer,ID,-1,"c(""NA"", ""< 0"")",,0,,,PUMA regions associated with households
TRACT,synthetic_households.csv,Household,Global,character,ID,"""NA""","c("""")",,21,,,TRACT regions associated with households
BG,synthetic_households.csv,Household,Global,character,ID,"""NA""","c("""")",,21,,,BG regions associated with households
hh_id,synthetic_households.csv,Household,Global,integer,ID,-1,"c(""NA"", ""< 0"")",,0,,,Unique household id as observed in the seed data
NP,synthetic_households.csv,Household,Global,integer,category,-1,"c(""NA"", ""<0"")",,0,,,Number of people in the household
NW,synthetic_households.csv,Household,Global,integer,category,-1,"c(""NA"", ""< 0"")",,0,,,Number of workers in the household
HTYPE,synthetic_households.csv,Household,Global,character,category,"""NA""","c("""")","c(""SF"", ""MF"", ""MH"", ""DUP"")",3,,,Household residential type
HHINCADJ,synthetic_households.csv,Household,Global,currency,USD,NA,"c("""")",,0,,,Household adjusted income
household_id,synthetic_persons.csv,Person,Global,integer,ID,-1,"c(""NA"", ""< 0"")",,0,,,Unique household ID associated with person as generated by PopulationSim
PUMA,synthetic_persons.csv,Person,Global,integer,ID,-1,"c(""NA"", ""< 0"")",,0,,,PUMA regions associated with persons
TRACT,synthetic_persons.csv,Person,Global,character,ID,"""NA""","c("""")",,21,,,TRACT regions associated with persons
BG,synthetic_persons.csv,Person,Global,character,ID,"""NA""","c("""")",,21,,,BG regions associated with persons
per_num,synthetic_persons.csv,Person,Global,integer,ID,-1,"c(""NA"", ""< 0"")",,0,,,Persons ID within a household as generated by PopulationSim
AGEP,synthetic_persons.csv,Person,Global,time,YR,-1,"c(""NA"", ""< 0"")",,0,,,Age of a person
RAC1P,synthetic_persons.csv,Person,Global,integer,category,-1,"c(""NA"", ""< 1"", "">9"")",c(1:9),0,,,Race of a person
PINCADJ,synthetic_persons.csv,Person,Global,currency,USD,NA,"c("""")",,0,,,Personal adjusted income
WORKER,synthetic_persons.csv,Person,Global,integer,binary,NA,"c(""<0"", "">1"")","c(0,1)",0,,,Flag for whether a person is a worker
