STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,PUMA,REGION,TRACTGEOID
41,029,000100,2,410290001002,00901,1,41029000100
41,029,000100,1,410290001001,00901,1,41029000100
41,029,000201,1,410290002011,00901,1,41029000201
41,029,000201,3,410290002013,00901,1,41029000201
41,029,000201,2,410290002012,00901,1,41029000201
41,029,000202,3,410290002023,00901,1,41029000202
41,029,000202,1,410290002021,00901,1,41029000202
41,029,000202,2,410290002022,00901,1,41029000202
41,029,000203,3,410290002033,00901,1,41029000203
41,029,000203,1,410290002031,00901,1,41029000203
41,029,000203,2,410290002032,00901,1,41029000203
41,029,000300,4,410290003004,00901,1,41029000300
41,029,000300,3,410290003003,00901,1,41029000300
41,029,000403,1,410290004031,00901,1,41029000403
41,029,000403,2,410290004032,00901,1,41029000403
41,029,000404,1,410290004041,00901,1,41029000404
41,029,000404,2,410290004042,00901,1,41029000404
41,029,000405,2,410290004052,00901,1,41029000405
41,029,000405,1,410290004051,00901,1,41029000405
41,029,000406,1,410290004061,00901,1,41029000406
41,029,000406,3,410290004063,00901,1,41029000406
41,029,000501,1,410290005011,00901,1,41029000501
41,029,000501,2,410290005012,00901,1,41029000501
41,029,000502,4,410290005024,00901,1,41029000502
41,029,000502,2,410290005022,00901,1,41029000502
41,029,000502,1,410290005021,00901,1,41029000502
41,029,000603,1,410290006031,00901,1,41029000603
41,029,000603,2,410290006032,00901,1,41029000603
41,029,000604,1,410290006041,00901,1,41029000604
41,029,000604,2,410290006042,00901,1,41029000604
41,029,000605,1,410290006051,00901,1,41029000605
41,029,000605,2,410290006052,00901,1,41029000605
41,029,000606,1,410290006061,00901,1,41029000606
41,029,000701,1,410290007011,00901,1,41029000701
41,029,000701,2,410290007012,00901,1,41029000701
41,029,000702,3,410290007023,00901,1,41029000702
41,029,000702,2,410290007022,00901,1,41029000702
41,029,000702,1,410290007021,00901,1,41029000702
41,029,000800,3,410290008003,00901,1,41029000800
41,029,000800,4,410290008004,00901,1,41029000800
41,029,000901,1,410290009011,00901,1,41029000901
41,029,000901,3,410290009013,00901,1,41029000901
41,029,000901,2,410290009012,00901,1,41029000901
41,029,000902,2,410290009022,00901,1,41029000902
41,029,001001,3,410290010013,00901,1,41029001001
41,029,001001,1,410290010011,00901,1,41029001001
41,029,001001,2,410290010012,00901,1,41029001001
41,029,001002,4,410290010024,00901,1,41029001002
41,029,001002,2,410290010022,00901,1,41029001002
41,029,001002,1,410290010021,00901,1,41029001002
41,029,001100,1,410290011001,00901,1,41029001100
41,029,001100,2,410290011002,00901,1,41029001100
41,029,001100,4,410290011004,00901,1,41029001100
41,029,001200,3,410290012003,00901,1,41029001200
41,029,001200,1,410290012001,00901,1,41029001200
41,029,001301,3,410290013013,00902,1,41029001301
41,029,001301,2,410290013012,00902,1,41029001301
41,029,001301,1,410290013011,00902,1,41029001301
41,029,001303,3,410290013033,00902,1,41029001303
41,029,001303,2,410290013032,00902,1,41029001303
41,029,001304,1,410290013041,00902,1,41029001304
41,029,001304,4,410290013044,00902,1,41029001304
41,029,001304,3,410290013043,00902,1,41029001304
41,029,001401,2,410290014012,00902,1,41029001401
41,029,001401,3,410290014013,00902,1,41029001401
41,029,001403,1,410290014031,00902,1,41029001403
41,029,001500,1,410290015001,00902,1,41029001500
41,029,001500,4,410290015004,00902,1,41029001500
41,029,001500,3,410290015003,00902,1,41029001500
41,029,001500,2,410290015002,00902,1,41029001500
41,029,001601,3,410290016013,00901,1,41029001601
41,029,001601,1,410290016011,00901,1,41029001601
41,029,001602,4,410290016024,00902,1,41029001602
41,029,001602,3,410290016023,00902,1,41029001602
41,029,001602,1,410290016021,00902,1,41029001602
41,029,001602,5,410290016025,00902,1,41029001602
41,029,001602,2,410290016022,00902,1,41029001602
41,029,001701,2,410290017012,00902,1,41029001701
41,029,001702,1,410290017021,00902,1,41029001702
41,029,001702,2,410290017022,00902,1,41029001702
41,029,001801,4,410290018014,00902,1,41029001801
41,029,001801,3,410290018013,00902,1,41029001801
41,029,001802,2,410290018022,00902,1,41029001802
41,029,001802,1,410290018021,00902,1,41029001802
41,029,001900,2,410290019002,00902,1,41029001900
41,029,001900,1,410290019001,00902,1,41029001900
41,029,002000,2,410290020002,00902,1,41029002000
41,029,002000,1,410290020001,00902,1,41029002000
41,029,002100,1,410290021001,00902,1,41029002100
41,029,002100,2,410290021002,00902,1,41029002100
41,029,002100,3,410290021003,00902,1,41029002100
41,029,002200,1,410290022001,00902,1,41029002200
41,029,002200,2,410290022002,00902,1,41029002200
41,029,002200,3,410290022003,00902,1,41029002200
41,029,002200,4,410290022004,00902,1,41029002200
41,029,002300,1,410290023001,00902,1,41029002300
41,029,002300,2,410290023002,00902,1,41029002300
41,029,002400,1,410290024001,00902,1,41029002400
41,029,002400,2,410290024002,00902,1,41029002400
41,029,002500,1,410290025001,00902,1,41029002500
41,029,002500,3,410290025003,00902,1,41029002500
41,029,003001,1,410290030011,00902,1,41029003001
