Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Barnstable,2015,26990,10772,20731,57662,37251,61215
Berkshire,2015,17900,8259,15275,38350,20322,27579
Bristol,2015,95364,36069,73510,187479,75461,89100
Dukes,2015,2577,853,1710,5565,2903,3609
Essex,2015,138575,51825,99143,254870,107929,123761
Franklin,2015,10267,3756,8219,22429,12444,13435
Hampden,2015,84754,34093,67387,147068,62926,72852
Hampshire,2015,19569,18031,33415,43797,21525,24711
Middlesex,2015,265357,102591,230863,554472,200640,226017
Nantucket,2015,1935,518,1252,4188,1422,1543
Norfolk,2015,121911,45084,86117,236116,94402,111261
Plymouth,2015,91169,34637,58244,166860,73389,85559
Suffolk,2015,112390,53386,178559,266087,79690,86578
Worcester,2015,144955,57719,108767,276635,112216,118418
Barnstable,2050,20036,6848,13454,39585,20559,57736
Berkshire,2050,15702,6103,13736,35889,14717,39442
Bristol,2050,77999,28410,64587,189133,69789,131075
Dukes,2050,2776,915,1795,6275,2717,6049
Essex,2050,131014,45532,86424,277956,104993,218071
Franklin,2050,6985,2686,6238,18739,9094,23716
Hampden,2050,75659,33778,58930,149351,61276,112729
Hampshire,2050,16617,16732,29694,43487,20066,43887
Middlesex,2050,246763,88860,207011,593291,212357,385530
Nantucket,2050,2608,595,2022,3469,1352,2502
Norfolk,2050,116247,38578,79194,264194,95384,182413
Plymouth,2050,90039,31270,55087,175270,64412,151345
Suffolk,2050,133698,59378,172336,312089,102560,146556
Worcester,2050,136550,55287,102254,295303,114765,231382
